skill	status	nexa_area	purpose	bundle_path
using-superpowers	base	Proceso transversal	Descubrimiento de skills y disciplina de ejecución	skills/superpowers
domain-decomposition-api-design-advisor	base	Blueprint/API	Bounded Contexts, workflows, límites y contratos antes de implementar	skills/domain-decomposition-api-design-advisor
design-system	base	Design Lab	Tokens, especificaciones de componentes y sistema visual	skills/design-system
frontend-ui-engineering	base	Web UI	Interfaces accesibles, responsive y de calidad de producción	skills/frontend-ui-engineering
ui-ux-pro-max	base	UX/UI	Decisiones de estilos, layout, tipografía, accesibilidad y visualización	skills/ui-ux-pro-max
nexa-design	base	Nexa UI	Adopción de Design Lab en Angular con evidencia visual y accesibilidad	skills/nexa-design
angular-developer	base	Angular	Arquitectura Angular moderna y guía general de implementación	skills/angular-developer
angular-component	base	Angular	Standalone components, inputs/outputs signal-based y semántica accesible	skills/angular-component
angular-di	base	Angular	Inyección con inject(), tokens y configuración de providers	skills/angular-di
angular-directives	base	Angular	Directivas reutilizables y composición de comportamiento DOM	skills/angular-directives
angular-forms	base	Angular	Signal Forms, validación y formularios dinámicos	skills/angular-forms
angular-http	base	Angular/API	HttpClient, resource/httpResource, carga, errores e interceptores	skills/angular-http
angular-routing	base	Angular	Lazy routes, guards funcionales, resolvers y parámetros	skills/angular-routing
angular-signals	base	Angular	Estado reactivo con signal, computed, linkedSignal y effect	skills/angular-signals
angular-testing	base	Angular	Tests unitarios e integración con TestBed y Vitest/Jasmine	skills/angular-testing
angular-tooling	base	Angular	CLI, generación, build, test y configuración del workspace	skills/angular-tooling
code-reviewer	base	API	Review Java 25/Spring Boot 4, arquitectura, JSpecify, seguridad y rendimiento	skills/code-reviewer
spring-data-jpa	base	API	Repositorios JPA, proyecciones, queries, relaciones y rendimiento	skills/spring-data-jpa
transaction-consistency-designer	base	API/Dominio	Transacciones, rollback, idempotencia, locks y consistencia	skills/transaction-consistency-designer
schema-migration-planner	base	API/PostgreSQL	Evolución segura de schema, Flyway y compatibilidad de despliegues	skills/schema-migration-planner
performance-concurrency-advisor	base	API/Operaciones	Latencia, throughput, pools, concurrencia, SQL y señales operativas	skills/performance-concurrency-advisor
observability-integrator	base	API/Operaciones	Logs, métricas, tracing, health endpoints y diagnóstico	skills/observability-integrator
playwright	base	QA Web	Automatización de navegador, flujos, extracción y screenshots	skills/playwright
playwright-interactive	base	QA Web	Depuración iterativa persistente en navegador/Electron	skills/playwright-interactive
gh-address-comments	base	GitHub	Atender comentarios de PR con evidencia y gh CLI	skills/gh-address-comments
gh-fix-ci	base	GitHub CI	Diagnosticar checks fallidos y logs de GitHub Actions	skills/gh-fix-ci
pdf	base	Blueprint/Académico	Leer, crear, renderizar y verificar PDFs con control visual	skills/pdf
angular-new-app	conditional	Angular	Crear una aplicación Angular nueva; no aplica al mantenimiento normal	skills/angular-new-app
angular-ssr	conditional	Angular	SSR, hydration y prerendering si una superficie lo adopta	skills/angular-ssr
creating-springboot-projects	conditional	API	Scaffolding de nuevos servicios Java 25/Spring Boot 4	skills/creating-springboot-projects
springboot-migration	conditional	API	Migraciones concretas hacia Spring Boot 4/Java 25	skills/springboot-migration
spring-security-configurator-auditor	conditional	API/Seguridad	Auditar filter chains, JWT/OAuth2, CORS, CSRF y method security	skills/spring-security-configurator-auditor
